Year, Fertility_rate 
1960, 5.8 
1961, 5.9 
1962, 6.0 
1963, 6.1 
1964, 6.2 
1965, 6.2 
1966, 6.1 
1967, 6.0 
1968, 5.9 
1969, 5.7 
1970, 5.5 
1971, 5.2 
1972, 4.9 
1973, 4.5 
1974, 4.2 
1975, 3.8 
1976, 3.5 
1977, 3.2 
1978, 3.0 
1979, 2.8 
1980, 2.7 
1981, 2.7 
1982, 2.7 
1983, 2.7 
1984, 2.8 
1985, 2.8 
1986, 2.8 
1987, 2.8 
1988, 2.7 
1989, 2.6 
1990, 2.5 
1991, 2.3 
1992, 2.2 
1993, 2.0 
1994, 1.9 
1995, 1.7 
1996, 1.7 
1997, 1.6 
1998, 1.5 
1999, 1.5 
2000, 1.5 
2001, 1.5 
2002, 1.5 
2003, 1.5 
2004, 1.6 
2005, 1.6 
2006, 1.6 
2007, 1.6 
2008, 1.6 
2009, 1.6 
2010, 1.7 
2011, 1.7 
2012, 1.7 
2013, 1.7 
